Testcase,Points,Notes,Description
"Surrogates.txt: Program successfully converted UTF-16LE to UTF-16LE - 1
","1
",,Surrogates.txt: Program successfully converted UTF-16LE to UTF-16LE
"Surrogates.txt: Program successfully converted UTF-16BE to UTF-16BE - 1
","1
",,Surrogates.txt: Program successfully converted UTF-16BE to UTF-16BE
"ASCII.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code. - 0.75
","0.75
",,ASCII.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code.
"Nonsurrogates.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code. - 0.75
","0.75
",,Nonsurrogates.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code.
"Mixed.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code. - 0.75
","0.75
",,Mixed.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code.
"Surrogates.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code. - 0.75
","0.75
",,Surrogates.txt:Program sucessfully converted UTF-16LE to UTF-16BE and had an invalid return code.
"ASCII.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code. - 0.75
","0.75
",,ASCII.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code.
"Nonsurrogates.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code. - 0.75
","0.75
",,Nonsurrogates.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code.
"Mixed.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code. - 0.75
","0.75
",,Mixed.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code.
"Surrogates.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code. - 0.75
","0.75
",,Surrogates.txt:Program sucessfully converted UTF-16BE to UTF-16LE and had an invalid return code.
"ASCII.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code. - 1.875
","1.875
",,ASCII.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code.
"Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code. - 1.875
","1.875
",,Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code.
"Mixed.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code. - 1.875
","1.875
",,Mixed.txt: Program successfully converted UTF-8 to UTF-16LE and had an invalid return code.
"ASCII.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code. - 1.875
","1.875
",,ASCII.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code.
"Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code. - 1.875
","1.875
",,Nonsurrogates.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code.
"Mixed.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code. - 1.875
","1.875
",,Mixed.txt: Program successfully converted UTF-8 to UTF-16BE and had an invalid return code.
,,Your files had EOF issues (-5 pts deducted from total score).,EOF
"Incorrect -h output - 0
","0
",,Incorrect -h output
"Incorrect --help output - 0
","0
",,Incorrect --help output
"Incorrect valid --UTF handling - 0
","0
",,Incorrect valid --UTF handling
"Incorrect invalid --UTF handling - 0
","0
",,Incorrect invalid --UTF handling
"Incorrect handling of correct mixed arguments (-u 16LE --help ...) - 0
","0
",,Incorrect handling of correct mixed arguments (-u 16LE --help ...)
"Incorrect handling of incorrect mixed arguments (-u --help 16LE  ...) - 0
","0
",,Incorrect handling of incorrect mixed arguments (-u --help 16LE  ...)
"Incorrect difference between -v and -vv - 0
","0
",,Incorrect difference between -v and -vv
"Correct filesize - 1
","1
",,Correct filesize
"Correct filepath - 1
","1
",,Correct filepath
"Correct input encoding - 1
","1
",,Correct input encoding
"Correct output encoding - 1
","1
",,Correct output encoding
"Correct hostmachine - 1
","1
",,Correct hostmachine
"Correct operating system - 1
","1
",,Correct operating system
"Incorrect ASCII percentage - 0
","0
",,Incorrect ASCII percentage
"Incorrect surrogate percentage - 0
","0
",,Incorrect surrogate percentage
"Incorrect glyph count - 0
","0
",,Incorrect glyph count
"Incorrect timing - 0
","0
",,Incorrect timing
"Incorrect rtn. code of nonexistent file - 0
","0
",,Incorrect rtn. code of nonexistent file
"Correct rtn. code of identical input and output file - 2
","2
",,Correct rtn. code of identical input and output file
"Incorrect rtn. code of empty file - 0
","0
",,Incorrect rtn. code of empty file
"Incorrect rtn. code/output of preexisting file - 0
","0
",,Incorrect rtn. code/output of preexisting file
"Correct rtn. code of symbolic file - 2
","2
",,Correct rtn. code of symbolic file
"Incorrect rtn. code of mismatched output encodings for preexisting file - 0
","0
",,Incorrect rtn. code of mismatched output encodings for preexisting file
"Program does not support OUT_FILE - 0
","0
",,Program does not support OUT_FILE
"make debug 
","
",,make
"Makefile does not support make debug - 0
","0
",,Makefile does not support make debug
"Valgrind reported open file descriptors at exit - 0
","0
",,Valgrind reported open file descriptors at exit
"No memory errors or warnings (free, still reachable, etc) - 2
","2
",,"No memory errors or warnings (free, still reachable, etc)"
"Valgrind errors present - 0
","0
",,Valgrind errors present
,,Compilation error.,Your program failed to compile on Sparky.
Total,26.25,,
